ID,Penyakit,Query,RR,Hit@3,Precision@3,Top1_Score,Relevant_Flags
Q01,bacterial_leaf_blight,Apa gejala dan cara mengatasi hawar daun bakteri pada padi?,1.0,1.0,0.6667,0.5683,"[1, 1, 0]"
Q02,leaf_blast,"Tanaman padi saya daunnya ada bercak belah ketupat abu-abu, apa itu dan bagaimana cara mengobatinya?",0.0,0.0,0.0,0.5921,"[0, 0, 0]"
Q03,neck_blast,"Malai padi saya tegak tapi gabahnya hampa, apa penyebabnya dan apa yang harus dilakukan?",1.0,1.0,0.3333,0.6255,"[1, 0, 0]"
Q04,sheath_blight,"Ada lesi abu-abu di pelepah daun bawah tanaman padi saya yang menyebar ke atas, penyakit apa ini?",0.5,1.0,0.3333,0.5848,"[0, 1, 0]"
Q05,tungro,"Daun padi kuning-oranye, tanaman kerdil, bagaimana menanganinya?",0.0,0.0,0.0,0.5938,"[0, 0, 0]"
Q06,brown_spot,"Ada bercak oval coklat dengan pusat putih di daun padi, apa penyakitnya?",0.5,1.0,0.3333,0.6442,"[0, 1, 0]"
Q07,dead_heart,"Pucuk tanaman padi muda mati dan bisa dicabut dengan mudah, apa penyebabnya?",0.5,1.0,0.3333,0.6291,"[0, 1, 0]"
Q08,hispa,"Ada goresan putih horizontal di daun padi, kadang ada bagian daun seperti transparan, apa ini?",0.0,0.0,0.0,0.5652,"[0, 0, 0]"
Q09,bacterial_panicle_blight,"Malai padi berisi gabah hampa berwarna coklat dan biji mengeriput saat pembungaan, apa ini?",0.0,0.0,0.0,0.6179,"[0, 0, 0]"
Q10,leaf_smut,"Daun padi saya tampak bintik-bintik hitam kecil tersebar, tidak terlalu parah, apa itu?",0.5,1.0,0.3333,0.5837,"[0, 1, 0]"
Q11,downy_mildew,"Ada lapisan putih seperti tepung di bawah daun padi, tanaman terlihat kerdil dan daun distorsi",0.0,0.0,0.0,0.5704,"[0, 0, 0]"
Q12,healthy,"Tanaman padi saya tampak sehat, daun hijau, tidak ada gejala penyakit, apa yang harus saya lakukan?",1.0,1.0,0.3333,0.6497,"[1, 0, 0]"
Q13,leaf_blast,"Kelembaban udara sangat tinggi 90%, suhu 26°C, apakah ada risiko penyakit dan apa yang harus dilakukan?",0.5,1.0,0.6667,0.5557,"[0, 1, 1]"
Q14,sheath_blight,"Nitrogen tanah sangat tinggi, suhu 30°C, kelembaban 85%, penyakit apa yang perlu diwaspadai?",0.3333,1.0,0.3333,0.6309,"[0, 0, 1]"
Q15,tungro,"Petani melaporkan populasi wereng hijau meningkat, apa yang harus dilakukan untuk mencegah tungro?",1.0,1.0,0.6667,0.559,"[1, 1, 0]"
Q16,bacterial_leaf_streak,"Ada garis-garis sempit kuning di antara tulang daun padi disertai butiran eksudat kekuningan, penyakit apa ini?",1.0,1.0,0.3333,0.5364,"[1, 0, 0]"
Q17,harvest_stage,"Malai padi sudah menunduk dan 80% gabah berwarna kuning keemasan, apakah sudah siap panen dan apa langkahnya?",1.0,1.0,1.0,0.5772,"[1, 1, 1]"
Q18,harvest_stage,"Kelembaban udara 85% saat padi siap panen, apa risiko kualitas gabah dan apa yang harus dilakukan?",1.0,1.0,0.6667,0.6027,"[1, 1, 0]"

RATA-RATA,,,0.5463,0.7222,0.3519,,
